Date (month),Weather,Birth rate,Death Rate,Population,Upcomming Drugs Category,Per capita,No. of Holidays,Pandemic,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
31-01-2014,Winter,19.252,7.257,130.72,N02BA,"73,512",10,NO,127.69,99.09,152.1,878.03,354,50,112,48.2
28-02-2014,Winter,19.242,7.257,130.74,M01AB,"74,839",7,NO,133.32,126.05,177,1001.9,347,31,122,36.2
31-03-2014,Transition,19.232,7.256,130.81,M01AE,"75,294",9,NO,137.44,92.95,147.655,779.275,232,20,112,85.4
30-04-2014,Summer,19.252,7.256,130.86,N05B,"76,781",11,NO,113.1,89.475,130.9,698.5,209,18,97,73.7
31-05-2014,Summer,19.22,7.256,130.87,N02BE,"77,456",9,NO,101.79,119.933,132.1,628.78,270,23,107,123.7
30-06-2014,Summer,19.02,7.255,130.89,M01AE,"78,923",9,NO,112.07,94.71,122.9,548.225,323,23,57,109.3
31-07-2014,Transition,19.11,7.255,130.92,M01AB,"79,348",9,NO,117.06,95.01,129.3,491.9,348,21,61,69.1
31-08-2014,Rainy,18.98,7.255,131.07,R06,"80,672",11,NO,134.79,99.78,123.8,583.85,420,29,37,70.8
30-09-2014,Rainy,18.44,7.255,131.11,N02BE,"81,905",9,NO,108.78,109.094,122.1,887.82,399,14,115,58.8
31-10-2014,Transition,18.564,7.254,131.17,N05C,"82,437",13,NO,154.75,185.241,191.6,1856.815,472,30,182,74.5
30-11-2014,Transition,18.67,7.254,131.21,N05B,"83,789",12,NO,138.08,100.86,142.7,723.8,489,19,112,45.2
31-12-2014,Winter,18.82,7.254 ​,130.26,R03,"85,214",9,NO,131.9,121.401,111.124,1015.66,492,25,163,33.4
31-01-2015,Winter,18.944,7.253,132.29,M01AE,"87,234",9,NO,135.91,130.349,141,1044.24,463,24,177.25,42
28-02-2015,Winter,18.76,7.253,132.33,N05B,"88,765",8,NO,115.71,123.74,131.83,953.252,243,9,208,47
